work_id,title,author,publication_year,subject,work_type,collection_code,rights_code,priority
work_0101,An Investigation of the Laws of Thought,George Boole,1854,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0102,A Budget of Paradoxes,Augustus De Morgan,1872,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0103,The Foundations of Geometry,David Hilbert,,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0104,The Theory of Groups of Finite Order,William Burnside,1897,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0105,A Treatise on Probability,John Maynard Keynes,1921,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0106,Mathematical Recreations and Essays,W. W. Rouse Ball,1892,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0107,A Short Account of the History of Mathematics,W. W. Rouse Ball,1888,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0108,Plane Trigonometry,S. L. Loney,1893,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0109,Coordinate Geometry,S. L. Loney,1895,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0110,Higher Algebra,Hall and Knight,1887,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0111,Algebra: An Elementary Text-Book,G. Chrystal,1886,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0112,A Treatise on Differential Equations,George Boole,1859,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0113,The Theory of Determinants,Thomas Muir,1882,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0114,Projective Geometry,Oswald Veblen and John Wesley Young,1910,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0115,The Thirteen Books of Euclid's Elements,Thomas L. Heath,1908,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0116,Solid Geometry,Percival Frost,1875,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0117,Elementary Illustrations of the Differential and Integral Calculus,Augustus De Morgan,1832,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0118,The Philosophy of Arithmetic,John Leslie,1817,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0119,The Number Concept,Levi L. Conant,1896,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0120,"The Elements of Style, First Edition",William Strunk Jr.,1918,writing_grammar_and_rhetoric,book,PD_SCAN,PD_EDITION_CHECK,high
work_0121,How to Speak and Write Correctly,Joseph Devlin,1910,writing_grammar_and_rhetoric,book,PD_SCAN,PD_EDITION_CHECK,high
work_0122,The Art of Writing and Speaking the English Language,Sherwin Cody,,writing_grammar_and_rhetoric,book,PD_SCAN,PD_EDITION_CHECK,high
work_0123,English Grammar in Familiar Lectures,Samuel Kirkham,1829,writing_grammar_and_rhetoric,book,PD_SCAN,PD_EDITION_CHECK,high
