work_id,title,author,publication_year,subject,work_type,collection_code,rights_code,priority
work_0255,Writing Guide with Handbook,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0256,Psychology 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0257,Introduction to Sociology 3e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0258,Introduction to Sociology 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0259,College Algebra 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0260,Precalculus 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0261,Algebra and Trigonometry 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0262,Calculus Volume 1,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0263,Calculus Volume 2,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0264,Calculus Volume 3,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0265,Introductory Statistics 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0266,Statistics,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0267,College Physics 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0268,University Physics Volume 1,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0269,University Physics Volume 2,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0270,University Physics Volume 3,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0271,Astronomy 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0272,Biology 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0273,Chemistry 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0274,Organic Chemistry,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0275,Anatomy and Physiology 2e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0276,Microbiology,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0277,Concepts of Biology,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0278,Principles of Economics 3e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0279,Principles of Macroeconomics 3e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0280,Principles of Microeconomics 3e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0281,American Government 3e,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0282,U.S. History,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0283,World History Volume 1,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0284,World History Volume 2,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0285,Business Ethics,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0286,Organizational Behavior,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0287,Principles of Management,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0288,Entrepreneurship,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
work_0289,Introduction to Business,OpenStax,,open_textbook,textbook,OPENSTAX,ITEM_LICENSE_CHECK,high
